scenario	context	arm	recorded_optimum	recomputed	relative
half_serum	RE:CAKI-1	magnitude_g0.80	388.4577862627261	388.45778675118373	1.2574278997473381e-09
half_serum	RE:CAKI-1	ordinal	190.72040053394798	190.72040082466833	1.5243274976878588e-09
half_serum	RE:CAKI-1	magnitude_g2.00	419.5039262449986	419.5039267645027	1.23837723586344e-09
half_serum	RE:CAKI-1	magnitude_g0.50	378.841366658035	378.8413671368761	1.2639620649554744e-09
half_serum	RE:CAKI-1	magnitude_g1.25	401.2427281639934	401.24272866523614	1.2492257958113335e-09
primary	ME:MDA-MB-435	magnitude_g0.80	992.5929499442847	992.5929510368783	1.1007468940425116e-09
primary	ME:MDA-MB-435	magnitude_g0.50	980.7541757560379	980.7541768367927	1.1019630143510725e-09
primary	ME:MDA-MB-435	magnitude_g2.00	1034.8036680760283	1034.8036692108315	1.0966361804959645e-09
primary	ME:MDA-MB-435	ordinal	728.790897236684	728.7908980654745	1.1372129717589926e-09
primary	ME:MDA-MB-435	magnitude_g1.25	1009.5710091910277	1009.5710103005979	1.0990512056126306e-09
primary	ME:MDA-MB-435	magnitude_g1.00	1000.2749824251745	1000.2749835254507	1.099973748683338e-09
half_serum	OV:OVCAR-8	magnitude_g0.80	390.74124639854676	390.74124688928816	1.2559242312915368e-09
half_serum	OV:OVCAR-8	magnitude_g1.00	396.76928958672585	396.7692900834951	1.2520355259871106e-09
half_serum	OV:OVCAR-8	magnitude_g0.50	380.9359802648126	380.93598074574834	1.2625106688502282e-09
half_serum	OV:OVCAR-8	magnitude_g1.25	403.99575335030937	403.99575385430524	1.2475276275313718e-09
half_serum	OV:OVCAR-8	magnitude_g2.00	422.58887259895033	422.5888731215392	1.2366366583623532e-09
half_serum	OV:OVCAR-8	ordinal	207.73473109574002	207.73473140347465	1.4813827045146353e-09
primary	CNS:SNB-19	magnitude_g2.00	1025.97954702992	1025.9795481558995	1.097467737206605e-09
primary	CNS:SNB-19	magnitude_g1.25	996.9497367469281	996.9497378438792	1.100307336538426e-09
primary	CNS:SNB-19	magnitude_g0.50	963.3073989990817	963.3074000623885	1.1038084574309924e-09
primary	CNS:SNB-19	magnitude_g0.80	977.2011311937372	977.2011322709379	1.102332688273474e-09
primary	CNS:SNB-19	ordinal	752.847706741175	752.8477075940224	1.1328285721940765e-09
primary	CNS:SNB-19	magnitude_g1.00	986.1654361780718	986.1654372642381	1.1014037619677284e-09
lower_task	CNS:SNB-19	magnitude_g0.80	422.8818841161075	422.88188463898996	1.236473943024983e-09
lower_task	CNS:SNB-19	ordinal	221.1626212391142	221.16262156027676	1.4521556936627166e-09
lower_task	CNS:SNB-19	magnitude_g0.50	412.8893903640655	412.8893908769546	1.24219498550261e-09
lower_task	CNS:SNB-19	magnitude_g2.00	454.4439244312256	454.4439249856697	1.2200495681082467e-09
lower_task	CNS:SNB-19	magnitude_g1.00	428.70078454341757	428.70078507211906	1.23326457645452e-09
lower_task	CNS:SNB-19	magnitude_g1.25	435.7109708420598	435.7109713781299	1.2303341888008233e-09
primary	RE:A498	magnitude_g1.00	1009.472898837455	1009.4728999469282	1.0990619571937904e-09
primary	RE:A498	magnitude_g2.00	1041.9961346196687	1041.996135761664	1.0959687477793624e-09
primary	RE:A498	magnitude_g0.50	990.7562707180086	990.7562718087653	1.1009333849436855e-09
primary	RE:A498	ordinal	760.2985741713472	760.2985750316457	1.1315270832766032e-09
primary	RE:A498	magnitude_g0.80	1002.148449986025	1002.1484510881737	1.099785922985623e-09
primary	RE:A498	magnitude_g1.25	1018.222021260157	1018.2220223783784	1.0982097470474135e-09
lower_task	PR:DU-145	magnitude_g0.80	426.5081274763455	426.5081280028536	1.2344619962752687e-09
lower_task	PR:DU-145	magnitude_g1.25	438.90443900979625	438.90443954870125	1.2278413042798658e-09
lower_task	PR:DU-145	magnitude_g1.00	432.12242755547095	432.1224280875937	1.2314165902863856e-09
lower_task	PR:DU-145	magnitude_g0.50	417.40435381404103	417.40435433144575	1.2395767075751825e-09
lower_task	PR:DU-145	ordinal	220.51668792635164	220.51668824686806	1.4534792061751177e-09
lower_task	PR:DU-145	magnitude_g2.00	457.22091939646356	457.22091995368436	1.218712393544424e-09
lower_task	ME:M14	ordinal	243.55014332239452	243.5501436659447	1.4105931737886752e-09
lower_task	ME:M14	magnitude_g1.00	436.8365237919237	436.8365243287603	1.2289187173786154e-09
lower_task	ME:M14	magnitude_g1.25	443.53272137666676	443.5327219201995	1.225462539893908e-09
lower_task	ME:M14	magnitude_g0.50	421.65601043892957	421.6560109605857	1.2371604689537494e-09
lower_task	ME:M14	magnitude_g0.80	431.0579068193518	431.0579073504101	1.231988382319644e-09
lower_task	ME:M14	magnitude_g2.00	460.90366731588085	460.9036678767844	1.216964871952265e-09
primary	OV:OVCAR-8	ordinal	765.7663181859728	765.7663190517395	1.130588724503832e-09
primary	OV:OVCAR-8	magnitude_g1.25	1014.2454511723978	1014.2454522866426	1.0985948311707055e-09
primary	OV:OVCAR-8	magnitude_g0.80	996.5848190097106	996.5848201062954	1.1003426799148075e-09
primary	OV:OVCAR-8	magnitude_g0.50	984.1409647310123	984.1409658151541	1.1016122943518031e-09
primary	OV:OVCAR-8	magnitude_g1.00	1004.6319908307406	1004.6319919353722	1.0995385125771905e-09
primary	OV:OVCAR-8	magnitude_g2.00	1040.229731835768	1040.2297329759972	1.096132087573235e-09
half_serum	CNS:U251	magnitude_g1.00	387.98891573090594	387.9889162188947	1.2577389125649849e-09
half_serum	CNS:U251	magnitude_g0.80	381.29519726465844	381.29519774595417	1.2622653840321576e-09
half_serum	CNS:U251	magnitude_g0.50	370.8219771755006	370.8219776463226	1.269671207746261e-09
half_serum	CNS:U251	ordinal	198.0195813189371	198.01958161695688	1.5050015905755865e-09
half_serum	CNS:U251	magnitude_g1.25	395.3406641811331	395.34066467647403	1.2529471073347081e-09
half_serum	CNS:U251	magnitude_g2.00	415.0192912736152	415.01929178863463	1.2409530398108042e-09
half_serum	LC:NCI-H322M	magnitude_g1.25	403.71084278223134	403.7108432859421	1.2477017799409596e-09
half_serum	LC:NCI-H322M	ordinal	215.61725816444724	215.61725848006432	1.463783970405706e-09
half_serum	LC:NCI-H322M	magnitude_g0.50	380.563393023022	380.56339350358564	1.2627689657589097e-09
half_serum	LC:NCI-H322M	magnitude_g1.00	396.3352809718589	396.3352814681941	1.2523115415392142e-09
half_serum	LC:NCI-H322M	magnitude_g2.00	422.6593725312596	422.659373053919	1.2365972883188125e-09
half_serum	LC:NCI-H322M	magnitude_g0.80	390.199795633433	390.19979612363284	1.2562791107302767e-09
