scenario	context	vector_from_arm	scored_against_arm	regret	within_primary_cap	within_secondary_cap	cost_under_target	target_optimum	target_cap
half_serum	BR:MCF7	magnitude_g0.80	magnitude_g1.25	0.000704321073154173	0	0	411.79712171385995	411.50728845884186	411.5072889703492
half_serum	BR:MCF7	magnitude_g0.80	magnitude_g2.00	0.0030652734008303393	0	0	429.5594050628608	428.24671180816216	428.2467123364089
half_serum	BR:MCF7	magnitude_g0.80	ordinal	0.12729301483376362	0	1	250.18867919288334	221.93757603454807	221.93757635648564
half_serum	BR:MCF7	magnitude_g1.00	magnitude_g0.50	0.0007820919434039315	0	1	391.7699542128803	391.46379353382315	391.463794025287
half_serum	BR:MCF7	magnitude_g1.00	magnitude_g0.80	1.1609547060247893e-05	0	1	399.98461647140016	399.9799728850818	399.9799733850618
half_serum	BR:MCF7	magnitude_g1.00	magnitude_g1.00	1.2467223668898334e-09	1	1	405.3139815245348	405.3139810192208	405.3139815245348
half_serum	BR:MCF7	magnitude_g1.00	magnitude_g1.25	0.0006204986560275006	0	0	411.7626281782761	411.50728845884186	411.5072889703492
half_serum	BR:MCF7	magnitude_g1.00	magnitude_g2.00	0.0028673035357597763	0	0	429.4746251191072	428.24671180816216	428.2467123364089
half_serum	BR:MCF7	magnitude_g1.00	ordinal	0.1285835235102181	0	1	250.4750915603872	221.93757603454807	221.93757635648564
half_serum	BR:MCF7	magnitude_g1.25	magnitude_g0.50	0.0028023361340572864	0	1	392.5608066676181	391.46379353382315	391.463794025287
half_serum	BR:MCF7	magnitude_g1.25	magnitude_g0.80	0.0008701758952665299	0	1	400.32802581607575	399.9799728850818	399.9799733850618
half_serum	BR:MCF7	magnitude_g1.25	magnitude_g1.00	0.00016404755845309083	0	1	405.3804717882139	405.3139810192208	405.3139815245348
half_serum	BR:MCF7	magnitude_g1.25	magnitude_g1.25	1.2430091469924097e-09	1	0	411.5072889703492	411.50728845884186	411.5072889703492
half_serum	BR:MCF7	magnitude_g1.25	magnitude_g2.00	0.00037505107179957643	0	0	428.40732619642046	428.24671180816216	428.2467123364089
half_serum	BR:MCF7	magnitude_g1.25	ordinal	0.1594934910849137	0	1	257.3351748392216	221.93757603454807	221.93757635648564
half_serum	BR:MCF7	magnitude_g2.00	magnitude_g0.50	0.005098036812358115	0	1	393.45949036396394	391.46379353382315	391.463794025287
half_serum	BR:MCF7	magnitude_g2.00	magnitude_g0.80	0.002484046586382729	0	1	400.97354177134844	399.9799728850818	399.9799733850618
half_serum	BR:MCF7	magnitude_g2.00	magnitude_g1.00	0.0013688346548724282	0	1	405.86878884254423	405.3139810192208	405.3139815245348
half_serum	BR:MCF7	magnitude_g2.00	magnitude_g1.25	0.0007413353834823419	0	1	411.81235337233727	411.50728845884186	411.5072889703492
half_serum	BR:MCF7	magnitude_g2.00	magnitude_g2.00	1.2335095366730858e-09	1	0	428.24671233640856	428.24671180816216	428.2467123364089
half_serum	BR:MCF7	magnitude_g2.00	ordinal	0.18029573360110218	0	1	261.9519741193473	221.93757603454807	221.93757635648564
