panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
broader_chemistry	magnitude_g0.50	core_070	909	0.47194719471947194	0.47194719471947194
broader_chemistry	magnitude_g0.50	core_071	635	0.5	0.5
broader_chemistry	magnitude_g0.50	core_072	847	0.5	0.5
broader_chemistry	magnitude_g0.50	core_073	924	0.5	0.5
broader_chemistry	magnitude_g0.50	core_074	849	0.5	0.5
broader_chemistry	magnitude_g0.50	core_075	1025	0.41317073170731705	0.41317073170731705
broader_chemistry	magnitude_g0.50	core_076	885	0.5	0.5
broader_chemistry	magnitude_g0.50	core_077	642	0.5	0.5
broader_chemistry	magnitude_g0.50	core_078	911	0.5	0.5
broader_chemistry	magnitude_g0.50	core_079	225	0.5	0.5
broader_chemistry	magnitude_g0.50	core_080	870	0.5	0.5
broader_chemistry	magnitude_g0.50	core_081	988	0.5	0.5
broader_chemistry	magnitude_g0.50	core_083	141	0.5	0.5
broader_chemistry	magnitude_g0.50	core_084	718	0.5	0.5
broader_chemistry	magnitude_g0.50	core_085	863	0.5	0.5
broader_chemistry	magnitude_g0.50	core_086	561	0.5	0.5
broader_chemistry	magnitude_g0.50	core_088	713	0.5	0.5
broader_chemistry	magnitude_g0.50	core_090	334	0.5	0.5
broader_chemistry	magnitude_g0.50	core_091	779	0.5	0.5
broader_chemistry	magnitude_g0.50	core_092	1024	0.5	0.5
broader_chemistry	magnitude_g0.50	core_093	748	0.5	0.5
broader_chemistry	magnitude_g0.50	core_094	935	0.5	0.5
broader_chemistry	magnitude_g0.50	core_095	913	0.5	0.5
broader_chemistry	magnitude_g0.50	core_096	920	0.5277173913043478	0.5277173913043478
broader_chemistry	magnitude_g0.50	core_097	623	0.5	0.5
broader_chemistry	magnitude_g0.50	core_098	880	0.5	0.5
broader_chemistry	magnitude_g0.50	core_099	500	0.5	0.5
broader_chemistry	magnitude_g0.50	core_102	876	0.5	0.5
broader_chemistry	magnitude_g0.50	core_103	912	0.5	0.5
broader_chemistry	magnitude_g0.50	core_104	888	0.5	0.5
broader_chemistry	magnitude_g0.50	core_107	736	0.5	0.5
broader_chemistry	magnitude_g0.50	core_108	653	0.5	0.5
broader_chemistry	magnitude_g0.50	core_110	958	0.5	0.5
broader_chemistry	magnitude_g0.50	core_111	1004	0.5	0.5
broader_chemistry	magnitude_g0.50	core_112	731	0.5	0.5
broader_chemistry	magnitude_g0.50	core_113	977	0.5	0.5
broader_chemistry	magnitude_g0.50	core_114	869	0.5	0.5
broader_chemistry	magnitude_g0.50	core_115	915	0.5	0.5
broader_chemistry	magnitude_g0.50	core_116	368	0.5	0.5
broader_chemistry	magnitude_g0.50	core_117	536	0.5	0.5
broader_chemistry	magnitude_g0.80	core_001	767	0.5	0.5
broader_chemistry	magnitude_g0.80	core_002	819	0.5	0.5
broader_chemistry	magnitude_g0.80	core_004	317	0.5	0.5
broader_chemistry	magnitude_g0.80	core_005	495	0.5	0.5
broader_chemistry	magnitude_g0.80	core_006	952	0.5	0.5
broader_chemistry	magnitude_g0.80	core_007	732	0.5	0.5
broader_chemistry	magnitude_g0.80	core_011	594	0.5	0.5
broader_chemistry	magnitude_g0.80	core_012	742	0.5	0.5
broader_chemistry	magnitude_g0.80	core_013	537	0.5	0.5
broader_chemistry	magnitude_g0.80	core_014	840	0.5	0.5
broader_chemistry	magnitude_g0.80	core_015	514	0.5	0.5
broader_chemistry	magnitude_g0.80	core_016	1000	0.5115	0.511
broader_chemistry	magnitude_g0.80	core_017	705	0.5	0.5
broader_chemistry	magnitude_g0.80	core_018	1023	0.5	0.5
broader_chemistry	magnitude_g0.80	core_019	319	0.5	0.5
broader_chemistry	magnitude_g0.80	core_021	410	0.4548780487804878	0.4548780487804878
broader_chemistry	magnitude_g0.80	core_022	724	0.5	0.5
broader_chemistry	magnitude_g0.80	core_023	292	0.5	0.5
broader_chemistry	magnitude_g0.80	core_024	923	0.5	0.5
broader_chemistry	magnitude_g0.80	core_026	957	0.4456635318704284	0.4456635318704284
broader_chemistry	magnitude_g0.80	core_027	971	0.5	0.5
broader_chemistry	magnitude_g0.80	core_028	960	0.4171875	0.4171875
