panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
primary	ordinal	core_049	748	0.5	0.5
primary	ordinal	core_050	1027	0.4878286270691334	0.4878286270691334
primary	ordinal	core_051	919	0.5	0.5
primary	ordinal	core_052	818	0.47493887530562345	0.47493887530562345
primary	ordinal	core_053	898	0.5	0.5
primary	ordinal	core_056	797	0.5	0.5
primary	ordinal	core_062	940	0.5	0.5
primary	ordinal	core_063	1026	0.5	0.5
primary	ordinal	core_064	691	0.5	0.5
primary	ordinal	core_067	869	0.5	0.5
primary	ordinal	core_069	753	0.5	0.5
primary	ordinal	core_070	909	0.5962596259625963	0.5962596259625963
primary	ordinal	core_072	847	0.4881936245572609	0.4881936245572609
primary	ordinal	core_073	924	0.5	0.5
primary	ordinal	core_074	849	0.41048292108362777	0.4081272084805654
primary	ordinal	core_075	1025	0.5	0.5
primary	ordinal	core_076	885	0.4909604519774011	0.4909604519774011
primary	ordinal	core_077	642	0.5	0.5
primary	ordinal	core_078	911	0.5	0.5
primary	ordinal	core_080	870	0.5	0.5
primary	ordinal	core_081	988	0.5	0.5
primary	ordinal	core_085	863	0.6373117033603708	0.6373117033603708
primary	ordinal	core_088	713	0.5063113604488079	0.5063113604488079
primary	ordinal	core_091	779	0.5	0.5
primary	ordinal	core_092	1024	0.5	0.5
primary	ordinal	core_094	935	0.5	0.5
primary	ordinal	core_095	913	0.5	0.5
primary	ordinal	core_096	920	0.5592391304347826	0.5592391304347826
primary	ordinal	core_098	880	0.5	0.5
primary	ordinal	core_099	500	0.5	0.5
primary	ordinal	core_102	876	0.5	0.5
primary	ordinal	core_103	912	0.5	0.5
primary	ordinal	core_104	888	0.5	0.5
primary	ordinal	core_110	958	0.5	0.5
primary	ordinal	core_111	1004	0.5	0.5
primary	ordinal	core_112	731	0.5	0.5
primary	ordinal	core_113	977	0.5	0.5
primary	ordinal	core_114	869	0.5	0.5
primary	ordinal	core_115	915	0.5	0.5
primary	uniform_pfba	core_006	952	0.5	0.5
primary	uniform_pfba	core_016	1000	0.5	0.5
primary	uniform_pfba	core_018	1023	0.5	0.5
primary	uniform_pfba	core_024	923	0.5	0.5
primary	uniform_pfba	core_026	957	0.5	0.5
primary	uniform_pfba	core_027	971	0.5	0.5
primary	uniform_pfba	core_028	960	0.5	0.5
primary	uniform_pfba	core_030	957	0.5	0.5
primary	uniform_pfba	core_032	950	0.5	0.5
primary	uniform_pfba	core_035	920	0.5	0.5
primary	uniform_pfba	core_039	984	0.5	0.5
primary	uniform_pfba	core_041	939	0.5	0.5
primary	uniform_pfba	core_044	918	0.5	0.5
primary	uniform_pfba	core_049	748	0.5	0.5
primary	uniform_pfba	core_050	1027	0.5	0.5
primary	uniform_pfba	core_051	919	0.5	0.5
primary	uniform_pfba	core_052	818	0.5	0.5
primary	uniform_pfba	core_053	898	0.5	0.5
primary	uniform_pfba	core_056	797	0.5	0.5
primary	uniform_pfba	core_062	940	0.5	0.5
primary	uniform_pfba	core_063	1026	0.5	0.5
primary	uniform_pfba	core_064	691	0.5	0.5
primary	uniform_pfba	core_067	869	0.5	0.5
primary	uniform_pfba	core_069	753	0.5	0.5
primary	uniform_pfba	core_070	909	0.5	0.5
primary	uniform_pfba	core_072	847	0.5	0.5
primary	uniform_pfba	core_073	924	0.5	0.5
primary	uniform_pfba	core_074	849	0.5	0.5
primary	uniform_pfba	core_075	1025	0.5	0.5
primary	uniform_pfba	core_076	885	0.5	0.5
primary	uniform_pfba	core_077	642	0.5	0.5
primary	uniform_pfba	core_078	911	0.5	0.5
primary	uniform_pfba	core_080	870	0.5	0.5
primary	uniform_pfba	core_081	988	0.5	0.5
primary	uniform_pfba	core_085	863	0.5	0.5
