variant	core_label	replicate	context_id	origin_group	partition	culture_volume_mL	duration_days	growth_time_series_available	assays_screened	flagged_assay_count	unresolved_assay_count	status	flagged_assays	in_human1_11_line_subset
all_reported_assays	BT-549	1	BR:BT-549	BR:BT-549	test	35	4_or_5_not_resolved_per_culture	False	140	9	28	screen_positive	choline; dCMP; hypoxanthine; IMP; niacin; niacinamide; OMP; tryptophan; UDP-glucuronate	False
calibrated_assays	BT-549	1	BR:BT-549	BR:BT-549	test	35	4_or_5_not_resolved_per_culture	False	115	9	3	screen_positive	choline; dCMP; hypoxanthine; IMP; niacin; niacinamide; OMP; tryptophan; UDP-glucuronate	False
all_reported_assays	BT-549	2	BR:BT-549	BR:BT-549	test	35	4_or_5_not_resolved_per_culture	False	140	9	28	screen_positive	choline; hypoxanthine; IMP; niacin; niacinamide; OMP; tryptophan; UDP-glucuronate; XMP	False
calibrated_assays	BT-549	2	BR:BT-549	BR:BT-549	test	35	4_or_5_not_resolved_per_culture	False	115	9	3	screen_positive	choline; hypoxanthine; IMP; niacin; niacinamide; OMP; tryptophan; UDP-glucuronate; XMP	False
all_reported_assays	MALME-3M	1	ME:MALME-3M	ME:MALME-3M	development	35	4_or_5_not_resolved_per_culture	False	140	9	28	screen_positive	anthranilate; bilirubin; dCMP; 2'-deoxyuridine; hypoxanthine; IMP; niacin; nicotinic acid mononucleotide; UDP-glucuronate	True
calibrated_assays	MALME-3M	1	ME:MALME-3M	ME:MALME-3M	development	35	4_or_5_not_resolved_per_culture	False	115	9	3	screen_positive	anthranilate; bilirubin; dCMP; 2'-deoxyuridine; hypoxanthine; IMP; niacin; nicotinic acid mononucleotide; UDP-glucuronate	True
all_reported_assays	MALME-3M	2	ME:MALME-3M	ME:MALME-3M	development	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	anthranilate; bilirubin; 2'-deoxyuridine; hypoxanthine; IMP; thymidine; UDP-glucuronate	True
calibrated_assays	MALME-3M	2	ME:MALME-3M	ME:MALME-3M	development	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	anthranilate; bilirubin; 2'-deoxyuridine; hypoxanthine; IMP; thymidine; UDP-glucuronate	True
all_reported_assays	TK-10	1	RE:TK-10	RE:TK-10	test	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	anthranilate; bilirubin; 2'-deoxyuridine; glutamine; hypoxanthine; IMP; UDP-glucuronate	False
calibrated_assays	TK-10	1	RE:TK-10	RE:TK-10	test	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	anthranilate; bilirubin; 2'-deoxyuridine; glutamine; hypoxanthine; IMP; UDP-glucuronate	False
all_reported_assays	TK-10	2	RE:TK-10	RE:TK-10	test	35	4_or_5_not_resolved_per_culture	False	140	10	28	screen_positive	4-hydroxybenzoate; anthranilate; bilirubin; dCMP; 2'-deoxyuridine; glutamine; glutathione oxidized; hypoxanthine; IMP; UDP-glucuronate	False
calibrated_assays	TK-10	2	RE:TK-10	RE:TK-10	test	35	4_or_5_not_resolved_per_culture	False	115	10	3	screen_positive	4-hydroxybenzoate; anthranilate; bilirubin; dCMP; 2'-deoxyuridine; glutamine; glutathione oxidized; hypoxanthine; IMP; UDP-glucuronate	False
all_reported_assays	UO-31	1	RE:UO-31	RE:UO-31	development	35	4_or_5_not_resolved_per_culture	False	140	10	28	screen_positive	anthranilate; cytidine; dCMP; 2'-deoxycytidine; hypoxanthine; IMP; niacinamide; thymine; UDP-glucuronate; uracil	True
calibrated_assays	UO-31	1	RE:UO-31	RE:UO-31	development	35	4_or_5_not_resolved_per_culture	False	115	10	3	screen_positive	anthranilate; cytidine; dCMP; 2'-deoxycytidine; hypoxanthine; IMP; niacinamide; thymine; UDP-glucuronate; uracil	True
all_reported_assays	UO-31	2	RE:UO-31	RE:UO-31	development	35	4_or_5_not_resolved_per_culture	False	140	10	28	screen_positive	anthranilate; cytidine; dCMP; 2'-deoxycytidine; hypoxanthine; IMP; niacinamide; thymine; UDP-glucuronate; uracil	True
calibrated_assays	UO-31	2	RE:UO-31	RE:UO-31	development	35	4_or_5_not_resolved_per_culture	False	115	10	3	screen_positive	anthranilate; cytidine; dCMP; 2'-deoxycytidine; hypoxanthine; IMP; niacinamide; thymine; UDP-glucuronate; uracil	True
all_reported_assays	T-47D	1	BR:T-47D	BR:T-47D	test	35	4_or_5_not_resolved_per_culture	False	140	4	28	screen_positive	hypoxanthine; OMP; taurine; UDP-glucuronate	False
calibrated_assays	T-47D	1	BR:T-47D	BR:T-47D	test	35	4_or_5_not_resolved_per_culture	False	115	4	3	screen_positive	hypoxanthine; OMP; taurine; UDP-glucuronate	False
all_reported_assays	T-47D	2	BR:T-47D	BR:T-47D	test	35	4_or_5_not_resolved_per_culture	False	140	8	28	screen_positive	bilirubin; choline; glutathione oxidized; hypoxanthine; nicotinic acid mononucleotide; OMP; taurine; UDP-glucuronate	False
calibrated_assays	T-47D	2	BR:T-47D	BR:T-47D	test	35	4_or_5_not_resolved_per_culture	False	115	8	3	screen_positive	bilirubin; choline; glutathione oxidized; hypoxanthine; nicotinic acid mononucleotide; OMP; taurine; UDP-glucuronate	False
