source_label	method	source_kegg	source_pdf_page	source_text
lithocholate	IPR	C03990	26	lithocholate                        IPR    ko00120|Primary bile acid biosynthesis                  C03990       1   1
malate	IPR	C00149	26	malate                              IPR    ko00020|Citrate cycle (TCA cycle)                       C00149       1   1
maleate	IPR	C01384	26	maleate                             IPR    ko00650|Butanoate metabolism                            C01384       1
malonate	IPR	C00383	26	malonate                            IPR    ko00240|Pyrimidine metabolism                           C00383       1   1
malonyl-coA	IPR	C00083	26	malonyl-coA                         IPR    ko00061|Fatty acid biosynthesis                         C00083
methylmalonate	IPR	C02170	26	methylmalonate                      IPR    ko00280|Valine, leucine and isoleucine degradation      C02170       1   1
mevalonolactone	IPR	NA	26	mevalonolactone                     IPR    NA                                                        NA
3-methoxy-4-hydroxyphenylethyleneglycol	IPR	C05594	26	3-methoxy-4-hydroxyphenylethyleneglycol IPR    ko00350|Tyrosine metabolism                             C05594
NAD	IPR	C00003	26	NAD                                 IPR    ko00760|Nicotinate and nicotinamide metabolism          C00003
NADH	IPR	C00004	26	NADH                                IPR    ko00760|Nicotinate and nicotinamide metabolism          C00004
NADP	IPR	C00006	26	NADP                                IPR    ko00760|Nicotinate and nicotinamide metabolism          C00006
NADPH	IPR	C00005	26	NADPH                               IPR    ko00760|Nicotinate and nicotinamide metabolism          C00005
neopterin	IPR	C05926	26	neopterin                           IPR    ko00790|Folate biosynthesis                             C05926
niacin	IPR	C00253	26	niacin                              IPR    ko00760|Nicotinate and nicotinamide metabolism          C00253       1   1
nicotinic acid mononucleotide	IPR	C01185	26	nicotinic acid mononucleotide       IPR    ko00760|Nicotinate and nicotinamide metabolism          C01185       1
OH-phenylpyruvate	IPR	C01179	26	OH-phenylpyruvate                   IPR    ko00350|Tyrosine metabolism                             C01179       1   1
OMP	IPR	C01103	26	OMP                                 IPR    ko00240|Pyrimidine metabolism                           C01103       1
orotate	IPR	C00295	26	orotate                             IPR    ko00240|Pyrimidine metabolism                           C00295       1   1
oxalate	IPR	C00209	26	oxalate                             IPR    ko00630|Glyoxylate and dicarboxylate metabolism         C00209       1
oxaloacetate	IPR	C00036	26	oxaloacetate                        IPR    ko00020|Citrate cycle (TCA cycle)                       C00036
pantothenate	IPR	C00864	27	pantothenate                        IPR    ko00770|Pantothenate and CoA biosynthesis             C00864        1    1
phenylacetylglycine	IPR	C05598	27	phenylacetylglycine                 IPR    ko00360|Phenylalanine metabolism                      C05598        1
phosphoenolpyruvate	IPR	C00074	27	phosphoenolpyruvate                 IPR    ko00010|Glycolysis / Gluconeogenesis                  C00074        1    1
phosphotyrosine	IPR	C06501	27	phosphotyrosine                     IPR    NA                                                    C06501
phenylpyruvic acid	IPR	C00166	27	phenylpyruvic acid                  IPR    ko00360|Phenylalanine metabolism                      C00166
