model_gene_id	entrez_id	measured
525_AT1	525	True
11000_AT1	11000	True
230_AT1	230	True
51606_AT2	51606	True
226_AT2	226	True
127124_AT1	127124	False
527_AT1	527	True
8140_AT1	8140	True
229_AT1	229	True
23545_AT1	23545	True
226_AT3	226	True
226_AT1	226	True
534_AT1	534	True
5207_AT1	5207	True
528_AT2	528	True
526_AT1	526	True
23428_AT2	23428	True
23428_AT1	23428	True
5208_AT1	5208	True
1036_AT1	1036	True
245973_AT1	245973	False
5210_AT1	5210	True
8789_AT1	8789	True
5209_AT1	5209	True
124935_AT1	124935	False
2203_AT1	2203	True
2235_AT1	2235	True
2235_AT2	2235	True
23657_AT1	23657	True
57379_AT1	57379	True
2629_AT4	2629	False
10840_AT1	10840	True
26301_AT1	26301	False
79901_AT1	79901	True
978_AT1	978	True
197258_AT1	197258	False
7371_AT1	7371	False
83549_AT1	83549	False
7915_AT2	7915	True
125061_AT1	125061	False
4329_AT1	4329	True
51727_AT1	51727	True
1719_AT1	1719	True
129607_AT1	129607	False
7915_AT1	7915	True
2356_AT1	2356	True
2731_AT1	2731	True
29988_AT1	29988	True
275_AT1	275	True
2653_AT1	2653	False
1609_AT1	1609	True
155184_AT1	155184	False
2651_AT1	2651	True
6514_AT1	6514	True
6518_AT1	6518	True
8525_AT3	8525	True
66035_AT1	66035	True
55343_AT1	55343	True
7264_AT1	7264	True
8525_AT1	8525	True
160428_AT1	160428	False
8836_AT1	8836	True
4522_AT1	4522	True
8525_AT2	8525	True
25902_AT1	25902	False
1608_AT1	1608	True
79017_AT1	79017	True
2519_AT1	2519	False
2997_AT1	2997	True
160851_AT2	160851	True
2517_AT1	2517	True
9162_AT1	9162	True
2184_AT1	2184	True
8527_AT2	8527	True
8908_AT1	8908	True
2271_AT1	2271	True
2992_AT1	2992	True
160851_AT1	160851	True
2523_AT1	2523	True
8526_AT1	8526	True
2998_AT1	2998	True
2525_AT1	2525	True
2687_AT1	2687	True
6470_AT1	6470	True
8527_AT1	8527	True
1606_AT1	1606	True
6472_AT1	6472	True
10690_AT1	10690	True
6470_AT2	6470	True
9334_AT1	9334	True
8704_AT1	8704	True
2717_AT1	2717	True
8704_AT2	8704	True
8703_AT1	8703	True
2632_AT1	2632	True
2683_AT1	2683	True
2820_AT1	2820	True
5832_AT1	5832	True
2990_AT1	2990	True
9563_AT1	9563	True
8372_AT1	8372	True
3290_AT1	3290	True
2539_AT1	2539	True
3291_AT1	3291	True
3292_AT1	3292	True
26035_AT1	26035	True
2542_AT1	2542	True
2593_AT2	2593	True
54480_AT1	54480	True
2132_AT1	2132	True
7923_AT1	7923	True
3294_AT1	3294	True
2132_AT2	2132	True
2593_AT1	2593	True
2131_AT1	2131	True
51478_AT1	51478	True
9514_AT1	9514	True
3283_AT1	3283	True
2720_AT1	2720	False
3284_AT1	3284	True
27087_AT2	27087	True
4758_AT1	4758	True
27087_AT1	27087	True
80270_AT1	80270	False
57026_AT1	57026	False
5476_AT1	5476	True
135152_AT1	135152	False
2588_AT1	2588	True
26229_AT1	26229	True
2581_AT1	2581	True
4669_AT1	4669	True
3421_AT1	3421	True
2583_AT1	2583	True
55454_AT1	55454	True
3420_AT2	3420	True
3420_AT3	3420	True
3340_AT1	3340	True
8509_AT1	8509	True
9348_AT1	9348	True
55790_AT1	55790	True
64579_AT1	64579	True
3419_AT1	3419	True
3420_AT1	3420	True
79586_AT1	79586	True
3421_AT2	3421	True
3417_AT1	3417	True
2137_AT1	2137	True
3418_AT1	3418	True
22856_AT1	22856	True
337876_AT1	337876	False
7173_AT2	7173	True
7173_AT5	7173	True
2135_AT1	2135	True
2134_AT1	2134	True
55568_AT1	55568	True
56606_AT1	56606	True
7173_AT3	7173	True
55568_AT2	55568	True
7173_AT4	7173	True
7173_AT1	7173	True
56606_AT2	56606	True
2590_AT1	2590	True
154091_AT1	154091	False
3425_AT1	3425	True
2591_AT1	2591	True
144195_AT1	144195	False
11182_AT1	11182	True
114805_AT1	114805	False
6523_AT1	6523	True
587_AT1	587	True
8693_AT1	8693	False
63917_AT1	63917	True
50614_AT1	50614	False
8501_AT1	8501	True
2589_AT1	2589	True
178_AT3	178	True
51809_AT1	51809	True
178_AT6	178	True
178_AT2	178	True
55586_AT1	55586	False
114134_AT1	114134	False
117248_AT1	117248	False
11227_AT1	11227	False
6526_AT1	6526	True
178_AT4	178	True
11226_AT1	11226	True
79695_AT1	79695	True
79623_AT1	79623	True
178_AT1	178	True
3422_AT1	3422	True
91734_AT1	91734	False
26290_AT1	26290	True
81031_AT1	81031	True
178_AT5	178	True
126792_AT1	126792	False
5837_AT1	5837	True
5836_AT1	5836	True
5834_AT1	5834	True
160728_AT1	160728	False
8801_AT1	8801	True
11285_AT1	11285	True
8802_AT1	8802	True
2729_AT1	2729	True
8972_AT1	8972	True
2618_AT1	2618	True
2730_AT1	2730	True
8803_AT1	8803	True
10723_AT1	10723	True
2618_AT2	2618	True
9990_AT1	9990	True
2746_AT1	2746	True
175_AT1	175	True
2629_AT1	2629	False
6560_AT1	6560	True
2629_AT2	2629	False
2747_AT1	2747	True
2629_AT3	2629	False
2629_AT5	2629	False
5019_AT1	5019	True
10841_AT1	10841	True
10841_AT2	10841	True
57468_AT1	57468	True
3795_AT1	3795	True
3795_AT2	3795	True
1629_AT1	1629	True
84679_AT1	84679	True
23315_AT1	23315	True
27165_AT2	27165	True
594_AT1	594	True
2744_AT1	2744	True
27165_AT1	27165	True
8564_AT1	8564	True
3938_AT1	3938	True
593_AT1	593	True
594_AT2	594	True
26873_AT1	26873	True
79751_AT1	79751	True
83733_AT1	83733	False
4942_AT1	4942	True
2639_AT1	2639	True
53_AT1	53	True
3931_AT1	3931	True
7372_AT1	7372	True
2639_AT2	2639	True
57084_AT1	57084	True
1811_AT1	1811	True
246213_AT1	246213	False
57030_AT1	57030	True
387775_AT1	387775	False
10861_AT3	10861	True
10861_AT2	10861	True
1836_AT1	1836	True
124637_AT1	124637	False
51179_AT1	51179	True
51179_AT2	51179	True
10861_AT1	10861	True
54363_AT1	54363	True
366_AT1	366	True
1583_AT1	1583	True
2628_AT1	2628	True
1584_AT1	1584	True
1585_AT1	1585	True
11283_AT1	11283	True
9380_AT1	9380	True
1586_AT1	1586	True
2713_AT1	2713	True
4047_AT1	4047	True
1588_AT2	1588	True
29124_AT1	29124	True
1588_AT1	1588	True
5321_AT1	5321	True
2710_AT2	2710	True
1576_AT1	1576	True
2710_AT1	2710	True
2712_AT1	2712	True
1178_AT1	1178	True
51268_AT1	51268	True
1056_AT1	1056	True
3029_AT1	3029	True
6536_AT1	6536	True
6536_AT2	6536	True
1589_AT1	1589	False
1593_AT1	1593	True
3990_AT1	3990	True
1548_AT1	1548	True
80339_AT1	80339	True
4023_AT1	4023	True
5226_AT1	5226	True
1553_AT1	1553	True
11343_AT1	11343	True
1562_AT1	1562	True
11343_AT2	11343	True
27232_AT1	27232	True
1558_AT2	1558	True
57678_AT1	57678	False
1558_AT1	1558	True
50487_AT1	50487	True
284098_AT1	284098	False
1559_AT1	1559	True
80055_AT1	80055	True
93183_AT1	93183	False
9227_AT1	9227	False
1565_AT1	1565	True
54965_AT1	54965	False
1572_AT1	1572	True
51302_AT1	51302	True
2936_AT1	2936	True
6309_AT1	6309	True
64816_AT3	64816	True
64816_AT1	64816	True
4048_AT1	4048	False
64816_AT2	64816	True
1577_AT1	1577	True
4056_AT1	4056	True
5052_AT1	5052	True
7001_AT3	7001	True
1551_AT1	1551	False
7001_AT1	7001	True
4259_AT1	4259	True
10858_AT1	10858	True
4056_AT2	4056	True
2876_AT1	2876	True
66002_AT1	66002	True
5052_AT3	5052	True
7001_AT2	7001	True
8529_AT1	8529	True
2879_AT1	2879	True
4258_AT1	4258	True
4051_AT1	4051	True
2876_AT2	2876	True
9420_AT1	9420	True
5052_AT2	5052	True
1582_AT1	1582	False
2877_AT1	2877	True
5831_AT1	5831	True
2878_AT1	2878	True
2954_AT3	2954	True
5831_AT2	5831	True
2954_AT1	2954	True
257202_AT1	257202	False
2882_AT1	2882	True
2954_AT2	2954	True
5048_AT1	5048	True
2548_AT1	2548	True
10935_AT1	10935	True
10935_AT2	10935	True
5051_AT1	5051	True
5050_AT1	5050	True
2937_AT1	2937	True
5049_AT1	5049	True
64087_AT1	64087	True
7941_AT1	7941	True
56922_AT1	56922	True
23417_AT1	23417	True
2678_AT3	2678	False
347734_AT1	347734	False
57194_AT1	57194	True
2678_AT2	2678	False
5337_AT1	5337	True
2678_AT1	2678	False
4357_AT1	4357	True
5338_AT1	5338	True
2679_AT1	2679	False
4190_AT1	4190	True
130013_AT1	130013	False
4191_AT1	4191	True
4200_AT1	4200	True
4881_AT1	4881	True
5091_AT2	5091	True
4882_AT1	4882	True
2984_AT1	2984	True
2974_AT1	2974	True
2982_AT1	2982	True
2986_AT1	2986	True
4199_AT1	4199	True
10873_AT1	10873	True
3620_AT1	3620	True
2983_AT1	2983	True
5091_AT1	5091	True
3000_AT1	3000	True
1557_AT1	1557	True
1545_AT1	1545	True
4882_AT2	4882	True
5244_AT2	5244	True
2977_AT1	2977	True
1543_AT1	1543	True
5244_AT3	5244	True
1544_AT1	1544	True
9615_AT1	9615	False
4144_AT1	4144	True
5244_AT1	5244	True
4143_AT1	4143	True
5150_AT1	5150	False
27430_AT1	27430	True
27430_AT2	27430	True
4548_AT1	4548	True
763_AT1	763	True
5143_AT1	5143	False
11238_AT1	11238	True
4598_AT1	4598	True
5137_AT1	5137	True
3636_AT1	3636	True
5151_AT1	5151	True
23556_AT1	23556	True
5151_AT4	5151	True
23556_AT2	23556	True
55650_AT1	55650	True
3635_AT1	3635	True
5150_AT2	5150	False
3633_AT1	3633	True
8867_AT2	8867	True
5140_AT2	5140	True
27124_AT1	27124	True
53905_AT1	53905	True
5151_AT3	5151	True
50506_AT1	50506	True
53905_AT2	53905	True
5142_AT1	5142	True
343_AT1	343	True
5281_AT2	5281	True
27124_AT2	27124	True
8867_AT1	8867	True
3632_AT1	3632	True
10846_AT1	10846	True
84720_AT2	84720	True
5281_AT1	5281	True
5151_AT2	5151	True
84720_AT1	84720	True
56623_AT1	56623	True
5141_AT1	5141	True
8622_AT1	8622	True
3628_AT1	3628	True
3707_AT1	3707	True
54872_AT1	54872	True
80235_AT1	80235	True
5144_AT1	5144	True
3706_AT1	3706	True
5153_AT1	5153	True
80271_AT1	80271	True
94005_AT1	94005	False
27115_AT1	27115	True
128869_AT1	128869	False
51477_AT1	51477	True
5151_AT5	5151	True
5140_AT1	5140	True
10026_AT1	10026	True
5138_AT1	5138	True
51604_AT1	51604	True
3631_AT2	3631	True
