arm	exchange_id	profiles	B0_low	B0_high	B0_width	B0_shared	B1_mean_width	B1_max_width	B1_location_spread	B1_exploration	B1_all_fixed	B1_constant_across_profiles	B2_mean_width	B2_max_width	B2_location_spread	B2_exploration	B2_all_fixed	B2_constant_across_profiles
magnitude_g1.00	EX_glyc3p_e	11	0.0	6.071678091942406	6.071678091942406	True	3.348955867247482e-08	3.515008580512818e-08	1.7396424184087353e-09	2.8651756434804697e-10	True	True	8.180879464130857e-10	2.786418275465963e-09	1.3417592115963688e-09	2.2098655285710695e-10	True	True
magnitude_g1.00	EX_hom__L_e	11	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	1.6746604482334466e-17	1.8421264930567912e-16	9.210632465283956e-17	nan	True	True
magnitude_g1.00	EX_hxan_e	11	0.0	9.75111349148557	9.75111349148557	True	9.243438886662364e-09	9.810576448082512e-09	5.716209040885569e-10	5.862109025678781e-11	True	True	2.429266517242116e-10	7.682198277835028e-10	3.680615210454162e-10	3.7745588887545854e-11	True	True
magnitude_g1.00	EX_icit_e	11	0.0	62.31950881136539	62.31950881136539	True	6.243479139845012e-07	9.036317889663455e-07	2.0833020835209706e-07	3.342937265161873e-09	True	True	1.3948822752983606e-08	4.525726553412287e-08	2.1823134766951126e-08	3.5018143087435853e-10	True	True
magnitude_g1.00	EX_ins_e	11	0.0	7.422489374115851	7.422489374115851	True	7.01274540135393e-09	7.427314538914112e-09	4.249265907942737e-10	5.724852800410913e-11	True	True	1.7142641641018886e-10	5.85141660716626e-10	2.8245704142392527e-10	3.805421970813813e-11	True	True
magnitude_g1.00	EX_lac__L_e	11	-1.0	108.03961591890892	109.03961591890892	True	6.336316136748817e-05	0.00024189371674321336	5.386033315629179	0.04939519705970616	False	False	2.1098293714933387e-06	1.0076826059801647e-05	5.386023353138954	0.049395105693920055	False	False
magnitude_g1.00	EX_leu__L_e	11	-10.0	-1.7922337326704607	8.20776626732954	True	1.1482533552673793e-06	1.5184493806774668e-06	2.784044639270178e-07	3.391963840822174e-08	True	True	2.590525493107908e-08	7.802842350024264e-08	3.751422283926331e-08	4.570576405006335e-09	True	True
magnitude_g1.00	EX_lys__L_e	11	-10.0	-1.9452265708841594	8.05477342911584	True	4.245093449569995e-06	7.041527624318533e-06	2.2506327994609165e-06	2.794160281809398e-07	True	True	8.055127920236771e-08	2.3590889375313395e-07	1.1321189452573321e-07	1.4055255001525263e-08	True	True
magnitude_g1.00	EX_mal__L_e	11	0.0	69.54957388179433	69.54957388179433	True	1.372229106370586e-06	1.6264165792250028e-06	2.4482885585198505e-07	3.5202064108702293e-09	True	True	3.468832217639929e-08	1.2647436984341338e-07	6.07982071611446e-08	8.741708074944722e-10	True	True
magnitude_g1.00	EX_met__L_e	11	-10.0	-0.5026982632120802	9.49730173678792	True	5.6232076484399116e-05	0.0003455207728357834	3.783203069981064	0.39834504313228025	False	False	9.962540700887827e-07	5.227510378125189e-06	3.7832241135335503	0.39834725887239986	True	False
magnitude_g1.00	EX_nac_e	11	0.0	12.871302969659153	12.871302969659153	True	1.594737577629943e-07	1.668894370860499e-07	7.151592809640359e-09	5.556230652404371e-10	True	True	3.8876283274472585e-09	1.3111198513283159e-08	6.322440644464497e-09	4.912043993811702e-10	True	True
magnitude_g1.00	EX_ncam_e	11	-10.0	0.0	10.0	True	1.0993631658199943e-06	1.110280538375158e-06	1.0075641730264544e-08	1.0075641730264545e-09	True	True	2.5523832454508996e-08	8.444443044659743e-08	4.058731644420397e-08	4.058731644420397e-09	True	True
magnitude_g1.00	EX_orn_e	11	0.0	75.07460134290598	75.07460134290598	True	9.386546239812027e-07	3.297722302204151e-06	1.3809084727938651e-06	1.8393816924668242e-08	True	True	2.6622231253979728e-08	1.0312025256517925e-07	5.046947691477676e-08	6.722576745263766e-10	True	True
magnitude_g1.00	EX_orot_e	11	0.0	16.576892935524832	16.576892935524832	True	2.45217285183982e-08	2.599962480595315e-08	1.6954862337667012e-09	1.022800979870732e-10	True	True	5.889797973958353e-10	2.0011294292845275e-09	9.65636082084434e-10	5.825193453563567e-11	True	True
magnitude_g1.00	EX_phe__L_e	11	-10.0	-0.8524036882104262	9.147596311789574	True	1.524924244130946e-06	3.146712898915993e-06	1.086058912580512e-06	1.1872615226589976e-07	True	True	2.8581689631207944e-08	7.803207247025767e-08	3.745185095382908e-08	4.094173996895831e-09	True	True
magnitude_g1.00	EX_pro__L_e	11	-10.0	73.71949939148276	83.71949939148276	True	2.2925685539662313e-06	2.8969047514149082e-06	4.927393608689101e-07	5.885598509909858e-09	True	True	5.1860758253464597e-08	1.5969809719074135e-07	5.132309888189468e-08	6.130363804721467e-10	True	True
magnitude_g1.00	EX_sbt__D_e	11	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	0.0	0.0	4.1034854466458765e-27	nan	True	True
magnitude_g1.00	EX_ser__L_e	11	-10.0	57.23433743957334	67.23433743957334	True	9.790013906622748e-08	1.0634626157468574e-07	7.688091940849517e-09	1.1434770139230073e-10	True	True	2.3816623824628054e-09	8.22446999393378e-09	3.971749151787662e-09	5.907322512633161e-11	True	True
magnitude_g1.00	EX_sprm_e	11	0.0	3.3387831585264007	3.3387831585264007	True	5.177402672679908e-09	5.661546882231934e-09	5.358090871746992e-10	1.604803491973953e-10	True	True	1.6759169517400415e-10	4.5726550585131976e-10	2.2067758408481172e-10	6.609521301832898e-11	True	True
magnitude_g1.00	EX_srtn_e	11	0.0	8.61390890897742	8.61390890897742	True	3.804610380470502e-08	4.4907606723853844e-08	7.240235227760843e-09	8.405284179653985e-10	True	True	8.705462288200511e-10	2.858603757379781e-09	1.3780039794680887e-09	1.59974292046661e-10	True	True
magnitude_g1.00	EX_succ_e	11	0.0	115.44565627115217	115.44565627115217	True	3.342971103040523e-05	0.00011898828553214003	1.2922068063922314	0.011193204215125858	False	False	2.2265700254047776e-06	1.3855849877231208e-05	1.2921841420421885	0.011193007894616493	False	False
magnitude_g1.00	EX_taur_e	11	0.0	16.909696464552468	16.909696464552468	True	3.146398106801304e-08	3.6285282099399847e-08	5.088349433546779e-09	3.009131148044796e-10	True	True	7.297114982467593e-10	2.4238024984377927e-09	1.1685444906107016e-09	6.910499505773525e-11	True	True
magnitude_g1.00	EX_tchola_e	11	0.0	1.4423577198570345	1.4423577198570345	True	6.7020623467798895e-09	7.77451666792129e-09	1.1167129034534109e-09	7.742274250552066e-10	True	True	3.327421255032389e-10	8.876483017351273e-10	4.2774119510831694e-10	2.965569423032688e-10	True	True
magnitude_g1.00	EX_thr__L_e	11	-10.0	-1.0272564007096072	8.972743599290393	True	1.3028634876813525e-06	1.5358371010520955e-06	2.0995996208306167e-07	2.339975056232146e-08	True	True	2.9044733164017667e-08	9.159926595003753e-08	4.39840874832953e-08	4.901966382587124e-09	True	True
magnitude_g1.00	EX_thym_e	11	0.0	12.751456104250027	12.751456104250027	True	1.5533954467979444e-08	1.669781639859506e-08	1.286656343090245e-09	1.0090269946985943e-10	True	True	3.735121898909565e-10	1.2798568163003198e-09	6.1788014572983e-10	4.845565405851118e-11	True	True
magnitude_g1.00	EX_thymd_e	11	0.0	9.041941601195571	9.041941601195571	True	1.0313112976623999e-08	1.104318812517682e-08	8.065319948730989e-10	8.919898296693878e-11	True	True	2.5143414369364683e-10	8.485317954011204e-10	4.092733518639041e-10	4.526387914403118e-11	True	True
magnitude_g1.00	EX_ump_e	11	0.0	6.071678091942398	6.071678091942398	True	7.759456231958687e-09	8.212776924114666e-09	5.00387459708181e-10	8.241337108636164e-11	True	True	2.5761457954656227e-10	6.392853350343002e-10	3.013354053645933e-10	4.9629674169401284e-11	True	True
magnitude_g1.00	EX_ura_e	11	0.0	16.576892935525226	16.576892935525226	True	2.17173740342446e-08	2.3263985706969625e-08	1.7925650915169868e-09	1.0813637383610156e-10	True	True	5.208685479414221e-10	1.7763517337477897e-09	8.573302385981355e-10	5.1718391494272604e-11	True	True
magnitude_g1.00	EX_urate_e	11	0.0	9.751113491485382	9.751113491485382	True	8.821678493135653e-09	9.328202590762963e-09	5.12209135634133e-10	5.2528271369356037e-11	True	True	2.3087045997232712e-10	7.606163602077765e-10	3.676218045153548e-10	3.7700494906182775e-11	True	True
magnitude_g1.00	EX_uri_e	11	0.0	10.811017131864451	10.811017131864451	True	1.2440168142224792e-08	1.3280667966033625e-08	9.211363856395921e-10	8.520348958884078e-11	True	True	3.0007299554949823e-10	1.024867141172895e-09	4.946076869211026e-10	4.575033790884423e-11	True	True
magnitude_g1.00	EX_val__L_e	11	-10.0	-1.1583926498609252	8.841607350139075	True	1.0445710042595768e-06	1.1732780691442457e-06	1.1545050804251389e-07	1.3057637991659729e-08	True	True	2.4037958593322886e-08	7.608189456220771e-08	3.654971947320007e-08	4.133832008794776e-09	True	True
magnitude_g1.00	EX_xan_e	11	0.0	9.751113491485553	9.751113491485553	True	9.069112095787819e-09	9.603749170752299e-09	5.411379335667632e-10	5.54949887558249e-11	True	True	2.2739872659623485e-10	7.807726631171533e-10	3.773429914688001e-10	3.869742586816237e-11	True	True
ordinal	EX_4abut_e	11	0.0	179.01124760682066	179.01124760682066	True	1.6084166259486708e-07	2.1379195145887244e-07	3.683063694326608e-08	2.0574482014761826e-10	True	True	3.3949040604844733e-09	9.659070731455298e-09	4.657619165453163e-09	2.6018583903080396e-11	True	True
ordinal	EX_L2aadp_e	11	0.0	10.926076398774978	10.926076398774978	True	7.170087065710565e-08	8.232383750827739e-08	8.45039312751882e-09	7.734151601270399e-10	True	True	1.56123343398654e-09	3.1908550399744775e-09	1.526346294068475e-09	1.3969756739387323e-10	True	True
ordinal	EX_Lkynr_e	11	0.0	8.61390890897742	8.61390890897742	True	4.1210264364264436e-08	4.814963777199372e-08	6.421542513253367e-09	7.454853053485198e-10	True	True	9.328870393434454e-10	2.356985633675791e-09	1.1426595911511082e-09	1.3265285287150273e-10	True	True
ordinal	EX_ala__L_e	11	0.0	161.4259027078193	161.4259027078193	True	1.0970558128032724e-05	2.744358148909498e-05	1.9326281165659651	0.011972230504196218	False	False	5.171487798802136e-07	2.7504632491570646e-06	1.9326230221233427	0.011972198945180368	True	False
ordinal	EX_anth_e	11	0.0	8.613908908977418	8.613908908977418	True	3.657917540144817e-08	4.2223060097591145e-08	5.353854645075559e-09	6.215360182757181e-10	True	True	8.160753702288674e-10	1.960258736040898e-09	9.47502222636924e-10	1.0999677761270925e-10	True	True
