arm	exchange_id	profiles	B0_low	B0_high	B0_width	B0_shared	B1_mean_width	B1_max_width	B1_location_spread	B1_exploration	B1_all_fixed	B1_constant_across_profiles	B2_mean_width	B2_max_width	B2_location_spread	B2_exploration	B2_all_fixed	B2_constant_across_profiles
magnitude_g1.25	EX_tchola_e	47	0.0	1.442357719857035	1.442357719857035	True	6.606041713081408e-09	7.870000071768652e-09	1.0074207122745757e-09	6.984541340926371e-10	True	True	4.941538776386893e-10	1.0210299254476678e-09	5.093295634731772e-10	3.531229156687021e-10	True	True
magnitude_g1.25	EX_thr__L_e	47	-10.0	-1.0272564007096072	8.972743599290393	True	1.2941922926620827e-06	1.9931557879715456e-06	4.998433649205936e-07	5.570685926655962e-08	True	True	4.8619335843377085e-08	1.4539895243359524e-07	7.261876522335342e-08	8.093262046303925e-09	True	True
magnitude_g1.25	EX_thym_e	47	0.0	12.751456104250083	12.751456104250083	True	1.5441113700273172e-08	1.67218174005101e-08	1.069309074800345e-09	8.385780149797499e-11	True	True	6.542349817274175e-10	2.062531583722199e-09	1.0302832957044743e-09	8.079730560034465e-11	True	True
magnitude_g1.25	EX_thymd_e	47	0.0	9.041941601195715	9.041941601195715	True	1.0298658695945088e-08	1.1138301749957127e-08	6.985926279189729e-10	7.726135145869449e-11	True	True	4.410732594620686e-10	1.399502150387478e-09	6.990943464314401e-10	7.731683937651081e-11	True	True
magnitude_g1.25	EX_ump_e	47	0.0	6.071678091942417	6.071678091942417	True	7.755169264653919e-09	8.331771481253108e-09	4.663056285383305e-10	7.680012370174134e-11	True	True	4.075988531974607e-10	1.0585815645626679e-09	5.284648810813738e-10	8.703769749959032e-11	True	True
magnitude_g1.25	EX_ura_e	47	0.0	16.576892935525386	16.576892935525386	True	2.158084156846392e-08	2.3220805375321365e-08	1.4628322598772577e-09	8.824526197803393e-11	True	True	9.119683447381061e-10	2.842048895656078e-09	1.4195874602338637e-09	8.563652222133819e-11	True	True
magnitude_g1.25	EX_urate_e	47	0.0	9.751113491485452	9.751113491485452	True	8.799829174778895e-09	9.526697987578902e-09	5.390846882453354e-10	5.528442353953293e-11	True	True	3.937287958915152e-10	1.2053464278630879e-09	6.020832112288899e-10	6.174507267858397e-11	True	True
magnitude_g1.25	EX_uri_e	47	0.0	10.811017131864261	10.811017131864261	True	1.2425314756200954e-08	1.3386983578718508e-08	8.162299524334448e-10	7.549982970868656e-11	True	True	5.276236364320939e-10	1.6874874637985711e-09	8.429343881129959e-10	7.796994286768276e-11	True	True
magnitude_g1.25	EX_val__L_e	47	-10.0	-1.158392649860927	8.841607350139073	True	1.0697212846396946e-06	1.341714874314448e-06	1.9743743351341436e-07	2.2330491017598605e-08	True	True	4.207457716983271e-08	1.3214672844874542e-07	6.60049024325815e-08	7.465260536766914e-09	True	True
magnitude_g1.25	EX_xan_e	47	0.0	9.751113491485343	9.751113491485343	True	9.043282128646609e-09	9.794395254269282e-09	5.574764847187044e-10	5.717054623612903e-11	True	True	3.9707798411603246e-10	1.2365530951881134e-09	6.176847931480486e-10	6.334505220223414e-11	True	True
magnitude_g2.00	EX_4abut_e	47	0.0	179.01124760682112	179.01124760682112	True	3.0957815258482343e-07	3.774071451446681e-07	6.734736116961405e-08	3.7621860117714645e-10	True	True	1.319835574666031e-08	5.3073417065013344e-08	2.638902704757622e-08	1.4741546914156406e-10	True	True
magnitude_g2.00	EX_L2aadp_e	47	0.0	10.92607639877498	10.92607639877498	True	9.703436137415193e-08	1.0521202631417648e-07	6.50865382560453e-09	5.956990952703089e-10	True	True	3.98558658401346e-09	1.450485736525284e-08	7.205368955901616e-09	6.594653645941442e-10	True	True
magnitude_g2.00	EX_Lkynr_e	47	0.0	8.61390890897742	8.61390890897742	True	3.744015990746086e-08	4.303028763451864e-08	4.681185715100624e-09	5.434449986140312e-10	True	True	1.4483097157337504e-09	5.108126065437624e-09	2.5365158923359638e-09	2.944674617690008e-10	True	True
magnitude_g2.00	EX_ala__L_e	47	0.0	161.42590270782023	161.42590270782023	True	2.582990200436449e-05	0.0001828000298598198	1.2563000561627398	0.007782518388245499	False	False	6.089038345120126e-07	4.016798314410153e-06	1.2562988794138565	0.007782511098530134	True	False
magnitude_g2.00	EX_anth_e	47	0.0	8.613908908977407	8.613908908977407	True	3.3634324953153046e-08	3.83726647510934e-08	3.948811271262378e-09	4.5842268742207507e-10	True	True	1.3002996675817848e-09	4.603624531385827e-09	2.286828178153781e-09	2.654808870535479e-10	True	True
magnitude_g2.00	EX_cala_e	47	0.0	16.576892935525013	16.576892935525013	True	1.9834115524406665e-08	2.086824920547099e-08	9.338092633166978e-10	5.633198374078314e-11	True	True	7.949561636898034e-10	2.7767178375314596e-09	1.37942288684897e-09	8.321359691554779e-11	True	True
magnitude_g2.00	EX_chol_e	47	-10.0	5.802857235091036	15.802857235091036	True	1.414223430400477e-06	1.940255775600974e-06	3.3350732264736394e-07	2.1104241953587623e-08	True	True	5.1278538512316057e-08	1.8087724429349805e-07	7.379602662282991e-08	4.6697901224445755e-09	True	True
magnitude_g2.00	EX_cholp_e	47	0.0	6.071678091942436	6.071678091942436	True	5.300117642895719e-08	5.6089129557808596e-08	2.149222666678592e-09	3.5397506819914727e-10	True	True	2.12264858490355e-09	7.5527395975817e-09	3.752424943048958e-09	6.180210620896886e-10	True	True
magnitude_g2.00	EX_cit_e	47	0.0	62.319508811365665	62.319508811365665	True	9.701281456367278e-07	1.2913920939374754e-06	2.903844541293555e-07	4.659607555770657e-09	True	True	3.167859511791354e-08	9.611906451690337e-08	4.763033534104425e-08	7.642925345450983e-10	True	True
magnitude_g2.00	EX_cmp_e	47	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	1.8447749118025974e-10	5.784917072823645e-10	2.8924585364118224e-10	nan	True	True
