scenario	context	arm_a	arm_b	relative_l1_full_vector	relative_l1_panel_exchanges	reactions_differing	panel_exchanges_differing	max_abs_difference_full	max_abs_difference_panel
half_serum	BR:T-47D	magnitude_g1.00	magnitude_g1.25	0.0642179193206772	0.031182435008101136	115	10	4.098727377114811	0.5579781642172712
half_serum	BR:T-47D	magnitude_g1.00	magnitude_g2.00	0.25103118178138384	0.12615842862453722	120	10	7.588987501747849	3.6622006235245106
half_serum	BR:T-47D	magnitude_g1.00	ordinal	0.60425283654365	0.35030796558499555	198	11	15.835455097391453	7.960019328611613
half_serum	BR:T-47D	magnitude_g1.25	magnitude_g2.00	0.23712746202397847	0.11090880753029558	82	5	7.442263972775057	3.1405753450550318
half_serum	BR:T-47D	magnitude_g1.25	ordinal	0.6228897922638849	0.36406643813006634	188	10	15.835455097391497	8.122611284572805
half_serum	BR:T-47D	magnitude_g2.00	ordinal	0.5881065206769472	0.35380812778598564	194	10	13.644143181928564	10.799787980254365
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g0.80	0.13877166837188032	0.038963104653536675	115	6	5.616372141765787	1.242460756464995
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g1.00	0.12341345168755634	0.04129221630256444	111	6	5.282626505666508	1.3282569693510862
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g1.25	0.2516402849937285	0.15845580412354887	119	6	7.77369998990939	4.977239784708178
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g2.00	0.2738581155294052	0.18894548504464606	131	8	7.77369998990939	5.136276081493996
half_serum	CNS:SF-268	magnitude_g0.50	ordinal	0.5516499180531664	0.48676046208894647	179	12	12.452761935889828	8.944150812655312
half_serum	CNS:SF-268	magnitude_g0.80	magnitude_g1.00	0.029602767757300523	0.0034873773146036654	77	5	3.0106760735245497	0.08579621288609118
half_serum	CNS:SF-268	magnitude_g0.80	magnitude_g1.25	0.20526015958275362	0.1550120327240572	83	5	6.797278179903797	3.7347790282431834
half_serum	CNS:SF-268	magnitude_g0.80	magnitude_g2.00	0.2300769009948209	0.18607304635618682	96	7	7.461877371862036	3.893815325029001
half_serum	CNS:SF-268	magnitude_g0.80	ordinal	0.5499904343977161	0.49741845301532334	181	12	12.87673405111586	10.186611569120307
half_serum	CNS:SF-268	magnitude_g1.00	magnitude_g1.25	0.19247943475840393	0.15152624579582144	73	5	6.79726983899637	3.6489828153570922
half_serum	CNS:SF-268	magnitude_g1.00	magnitude_g2.00	0.2186721729333088	0.18259273162480294	86	7	7.461869030954609	3.80801911214291
half_serum	CNS:SF-268	magnitude_g1.00	ordinal	0.5537183975939408	0.4992312532366436	180	12	12.790937838229784	10.272407782006399
half_serum	CNS:SF-268	magnitude_g1.25	magnitude_g2.00	0.03306018880422824	0.03324705034397454	80	7	0.6836935458889677	0.6698608820609699
